,name,url
0,Carmelina’s,https://www.yelp.com/biz/carmelinas-boston-2
1,Saltie Girl,https://www.yelp.com/biz/saltie-girl-boston
2,Buttermilk & Bourbon,https://www.yelp.com/biz/buttermilk-and-bourbon-boston-2
3,Bootleg Special,https://www.yelp.com/biz/bootleg-special-boston
4,Toro,https://www.yelp.com/biz/toro-boston-2
5,The Salty Pig,https://www.yelp.com/biz/the-salty-pig-boston
6,Barcelona Wine Bar South End,https://www.yelp.com/biz/barcelona-wine-bar-south-end-boston-6
7,Milkweed,https://www.yelp.com/biz/milkweed-boston
8,Citrus & Salt,https://www.yelp.com/biz/citrus-and-salt-boston
9,Lolita Cocina & Tequila Bar Fort Point,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-fort-point-boston-2
10,Neptune Oyster,https://www.yelp.com/biz/neptune-oyster-boston
11,Tora Japanese Restaurant,https://www.yelp.com/biz/tora-japanese-restaurant-boston
12,Ma Maison,https://www.yelp.com/biz/ma-maison-boston
13,Bostonia Public House,https://www.yelp.com/biz/bostonia-public-house-boston-4
14,Woods Hill Pier 4,https://www.yelp.com/biz/woods-hill-pier-4-boston
15,Pomodoro,https://www.yelp.com/biz/pomodoro-boston-2
16,Giacomo’s Ristorante - Boston,https://www.yelp.com/biz/giacomos-ristorante-boston-boston
17,The Friendly Toast,https://www.yelp.com/biz/the-friendly-toast-back-bay
18,Mike & Patty’s - Boston,https://www.yelp.com/biz/mike-and-pattys-boston-boston
19,Myers & Chang,https://www.yelp.com/biz/myers-and-chang-boston
20,Cafe Bonjour,https://www.yelp.com/biz/cafe-bonjour-boston
21,Earls Kitchen + Bar,https://www.yelp.com/biz/earls-kitchen-bar-boston-2
22,Coppa Enoteca,https://www.yelp.com/biz/coppa-enoteca-boston
23,Cósmica,https://www.yelp.com/biz/c%C3%B3smica-boston-3
24,Krasi,https://www.yelp.com/biz/krasi-boston-2
25,Stillwater,https://www.yelp.com/biz/stillwater-boston
26,The Daily Catch,https://www.yelp.com/biz/the-daily-catch-boston
27,Piattini,https://www.yelp.com/biz/piattini-boston-3
28,Row 34,https://www.yelp.com/biz/row-34-boston
29,O Ya,https://www.yelp.com/biz/o-ya-boston
30,Yvonne’s,https://www.yelp.com/biz/yvonnes-boston
31,LUCIE drink + dine,https://www.yelp.com/biz/lucie-drink-dine-boston-2
32,KAVA neo-taverna,https://www.yelp.com/biz/kava-neo-taverna-boston-2
33,French Quarter,https://www.yelp.com/biz/french-quarter-boston
34,Atlantic Fish Co,https://www.yelp.com/biz/atlantic-fish-co-boston-3
