,name,url
0,The Second Line,https://www.yelp.com/biz/the-second-line-memphis
1,Bounty On Broad,https://www.yelp.com/biz/bounty-on-broad-memphis
2,Curfew,https://www.yelp.com/biz/curfew-memphis
3,The Liquor Store,https://www.yelp.com/biz/the-liquor-store-memphis-3
4,Beauty Shop Restaurant,https://www.yelp.com/biz/beauty-shop-restaurant-memphis-3
5,Saltwater Crab,https://www.yelp.com/biz/saltwater-crab-memphis
6,Porch and Parlor,https://www.yelp.com/biz/porch-and-parlor-memphis
7,Maciel’s Tortas & Tacos,https://www.yelp.com/biz/maciels-tortas-and-tacos-memphis-7
8,Sweet Grass,https://www.yelp.com/biz/sweet-grass-memphis
9,Tamboli’s Pasta & Pizza,https://www.yelp.com/biz/tambolis-pasta-and-pizza-memphis
10,Char Restaurant,https://www.yelp.com/biz/char-restaurant-memphis
11,SALT|SOY,https://www.yelp.com/biz/salt-soy-memphis
12,Sunrise Memphis,https://www.yelp.com/biz/sunrise-memphis-memphis
13,Alchemy,https://www.yelp.com/biz/alchemy-memphis-2
14,Babalu,https://www.yelp.com/biz/babalu-memphis
15,Brother Juniper’s,https://www.yelp.com/biz/brother-junipers-memphis
16,Cafe 1912,https://www.yelp.com/biz/cafe-1912-memphis
17,Hammer & Ale,https://www.yelp.com/biz/hammer-and-ale-memphis
18,Magnolia & May,https://www.yelp.com/biz/magnolia-and-may-memphis
19,Elwood’s Shack,https://www.yelp.com/biz/elwoods-shack-memphis
20,ECCO on Overton Park,https://www.yelp.com/biz/ecco-on-overton-park-memphis
21,Maximo’s On Broad,https://www.yelp.com/biz/maximos-on-broad-memphis
22,Restaurant Iris,https://www.yelp.com/biz/restaurant-iris-memphis
23,Belly Acres - Overton Square,https://www.yelp.com/biz/belly-acres-overton-square-memphis
24,Hattie B’s Hot Chicken - Memphis Midtown,https://www.yelp.com/biz/hattie-bs-hot-chicken-memphis-midtown-memphis-3
25,fam,https://www.yelp.com/biz/fam-memphis-2
26,Hustle & Dough,https://www.yelp.com/biz/hustle-and-dough-memphis
27,The Cove,https://www.yelp.com/biz/the-cove-memphis
28,Mahogany Memphis,https://www.yelp.com/biz/mahogany-memphis-memphis
29,ACRE,https://www.yelp.com/biz/acre-memphis-3
30,The World Famous Hernando’s Hide-A-Way Memphis,https://www.yelp.com/biz/the-world-famous-hernando-s-hide-a-way-memphis-memphis
31,Central BBQ,https://www.yelp.com/biz/central-bbq-memphis-2
32,Soul Fish Cafe,https://www.yelp.com/biz/soul-fish-cafe-memphis-3
33,Gus’s World Famous Fried Chicken,https://www.yelp.com/biz/guss-world-famous-fried-chicken-memphis-3
34,The Fry Guy,https://www.yelp.com/biz/the-fry-guy-memphis
35,Takashi Bistro,https://www.yelp.com/biz/takashi-bistro-memphis
36,Railgarten,https://www.yelp.com/biz/railgarten-memphis-2
37,Slim and Husky’s Pizza Beeria,https://www.yelp.com/biz/slim-and-huskys-pizza-beeria-memphis
38,Parish Grocery,https://www.yelp.com/biz/parish-grocery-memphis-2
39,The Crazy Noodle,https://www.yelp.com/biz/the-crazy-noodle-memphis
40,DWJ 2,https://www.yelp.com/biz/dwj-2-memphis
41,Tsunami Restaurant,https://www.yelp.com/biz/tsunami-restaurant-memphis
42,Bari Ristorante,https://www.yelp.com/biz/bari-ristorante-memphis-2
43,Waffle Cream,https://www.yelp.com/biz/waffle-cream-memphis
44,Catherine and Mary’s,https://www.yelp.com/biz/catherine-and-marys-memphis-2
45,117 Prime,https://www.yelp.com/biz/117-prime-memphis
46,Pho Binh,https://www.yelp.com/biz/pho-binh-memphis
47,Boscos Restaurant & Brewing Company,https://www.yelp.com/biz/boscos-restaurant-and-brewing-company-memphis
48,Happy Greek Cafe,https://www.yelp.com/biz/happy-greek-cafe-memphis-2
49,Momma’s,https://www.yelp.com/biz/mommas-memphis
50,Taqueria El Burrito Express,https://www.yelp.com/biz/taqueria-el-burrito-express-memphis
51,Blues City Cafe,https://www.yelp.com/biz/blues-city-cafe-memphis
52,Lafayette’s Music Room,https://www.yelp.com/biz/lafayettes-music-room-memphis
53,Ono Poke,https://www.yelp.com/biz/ono-poke-memphis-4
54,Casablanca,https://www.yelp.com/biz/casablanca-memphis-2
55,Aldo’s Pizza Pies - Midtown,https://www.yelp.com/biz/aldos-pizza-pies-midtown-memphis
56,Hazel’s Lucky Dice Delicatessen,https://www.yelp.com/biz/hazel-s-lucky-dice-delicatessen-memphis
57,Inspire Community Cafe,https://www.yelp.com/biz/inspire-community-cafe-memphis-3
58,SOB East,https://www.yelp.com/biz/sob-east-memphis
59,Joe’s Fried Chicken,https://www.yelp.com/biz/joes-fried-chicken-memphis-8
60,Young Avenue Deli,https://www.yelp.com/biz/young-avenue-deli-memphis
61,Matty And Patty’s,https://www.yelp.com/biz/matty-and-patty-s-memphis
62,Mr. Rusty’s Real Taste of Chicago,https://www.yelp.com/biz/mr-rustys-real-taste-of-chicago-memphis
63,Barksdale Restaurant,https://www.yelp.com/biz/barksdale-restaurant-memphis
64,CITY MARKET - Cooper Young,https://www.yelp.com/biz/city-market-cooper-young-memphis-2
65,R P Tracks,https://www.yelp.com/biz/r-p-tracks-memphis
66,Folks Folly Prime Steakhouse,https://www.yelp.com/biz/folks-folly-prime-steakhouse-memphis
67,Bayou Bar & Grill,https://www.yelp.com/biz/bayou-bar-and-grill-memphis
68,The Majestic Grille,https://www.yelp.com/biz/the-majestic-grille-memphis
69,Central BBQ,https://www.yelp.com/biz/central-bbq-memphis-3
